107. Category: Virtual Machines, 		  Name: D3 v2/DS3 v2 Low Priority, 		 Rate: 0.262000, 		 Region: US DoD 
108. Category: Virtual Machines, 		  Name: A4, 		 Rate: 0.600000, 		 Region: EU North 
109. Category: Virtual Machines, 		  Name: A11 Low Priority, 		 Rate: 0.312000, 		 Region: US North Central 
110. Category: Virtual Machines, 		  Name: D8 v3/D8s v3, 		 Rate: 0.468000, 		 Region: US West 
111. Category: Virtual Machines, 		  Name: D5 v2/DS5 v2, 		 Rate: 2.016000, 		 Region: US East 
112. Category: Virtual Machines, 		  Name: E16 v3/E16s v3, 		 Rate: 1.984000, 		 Region: UK South 
113. Category: Virtual Machines, 		  Name: F8/F8s, 		 Rate: 0.454000, 		 Region: EU West 
114. Category: Virtual Machines, 		  Name: A8m v2 Low Priority, 		 Rate: 0.140000, 		 Region: UK West 
115. Category: Virtual Machines, 		  Name: G4/GS4 Low Priority, 		 Rate: 0.784000, 		 Region: US West 2 
116. Category: Virtual Machines, 		  Name: A7, 		 Rate: 1.496000, 		 Region: FR Central 
117. Category: Virtual Machines, 		  Name: M8ms Low Priority, 		 Rate: 0.368800, 		 Region: US Gov AZ 
118. Category: Virtual Machines, 		  Name: D5 v2/DS5 v2, 		 Rate: 2.340000, 		 Region: US Gov AZ 
119. Category: Virtual Machines, 		  Name: D14 v2/DS14 v2, 		 Rate: 2.111000, 		 Region: US East 
120. Category: Virtual Machines, 		  Name: M64ls, 		 Rate: 9.279550, 		 Region: UK South 
121. Category: Virtual Machines, 		  Name: A1 v2 Low Priority, 		 Rate: 0.022000, 		 Region:  
122. Category: Virtual Machines, 		  Name: F16s v2, 		 Rate: 1.108000, 		 Region: AU Central 
123. Category: Virtual Machines, 		  Name: A4, 		 Rate: 0.792000, 		 Region: UK South 
124. Category: Virtual Machines, 		  Name: D12 v2/DS12 v2 Low Priority, 		 Rate: 0.076000, 		 Region: EU West 
125. Category: Virtual Machines, 		  Name: M64s, 		 Rate: 12.615000, 		 Region: AU East 
126. Category: Virtual Machines, 		  Name: A1 Low Priority, 		 Rate: 0.018200, 		 Region: FR South 
127. Category: Virtual Machines, 		  Name: D15 v2/DS15 v2, 		 Rate: 1.853000, 		 Region: EU North 
128. Category: Virtual Machines, 		  Name: D2 v3/D2s v3, 		 Rate: 0.125000, 		 Region: AU East 
129. Category: Virtual Machines, 		  Name: A2 Low Priority, 		 Rate: 0.066000, 		 Region: US Gov 
130. Category: Virtual Machines, 		  Name: D8 v3/D8s v3, 		 Rate: 1.085000, 		 Region: AU Central 
131. Category: Virtual Machines, 		  Name: D2/DS2 Low Priority, 		 Rate: 0.031000, 		 Region: US West 
132. Category: Virtual Machines, 		  Name: F16/F16s, 		 Rate: 1.632000, 		 Region: EU North 
133. Category: Virtual Machines, 		  Name: A2 v2, 		 Rate: 0.091000, 		 Region: US South Central 
134. Category: Virtual Machines, 		  Name: F16/F16s, 		 Rate: 1.744000, 		 Region: JA West 
135. Category: Virtual Machines, 		  Name: A8m v2 Low Priority, 		 Rate: 0.384000, 		 Region: IN South 
136. Category: Virtual Machines, 		  Name: F32s v2, 		 Rate: 2.094000, 		 Region: FR South 
137. Category: Virtual Machines, 		  Name: M16s Low Priority, 		 Rate: 0.692200, 		 Region: AU Southeast 
138. Category: Virtual Machines, 		  Name: A0 Low Priority, 		 Rate: 0.004000, 		 Region: IN West 
139. Category: Virtual Machines, 		  Name: A1 Low Priority, 		 Rate: 0.004800, 		 Region: US East 2 
140. Category: Virtual Machines, 		  Name: F16s v2, 		 Rate: 1.048000, 		 Region: BR South 
141. Category: Virtual Machines, 		  Name: D3 v2/DS3 v2 - Expired, 		 Rate: 0.229000, 		 Region: US West 2 
142. Category: Virtual Machines, 		  Name: E2 v3/E2s v3, 		 Rate: 0.126000, 		 Region: US West 2 
143. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.027700, 		 Region: AU Central 2 
144. Category: Virtual Machines, 		  Name: F64s v2 Low Priority, 		 Rate: 2.265600, 		 Region: FR South 
145. Category: Virtual Machines, 		  Name: D4 v3/D4s v3, 		 Rate: 0.406000, 		 Region: CA East 
146. Category: Virtual Machines, 		  Name: D13 v2/DS13 v2, 		 Rate: 0.746000, 		 Region: US Gov AZ 
147. Category: Virtual Machines, 		  Name: F64s v2, 		 Rate: 7.136000, 		 Region: BR South 
148. Category: Virtual Machines, 		  Name: ND24s Low Priority, 		 Rate: 1.987000, 		 Region: US South Central 
149. Category: Virtual Machines, 		  Name: D15 v2/DS15 v2, 		 Rate: 3.692000, 		 Region: AU Central 
150. Category: Virtual Machines, 		  Name: A4, 		 Rate: 0.440000, 		 Region: US Gov 
151. Category: Virtual Machines, 		  Name: D13 v2/DS13 v2 Low Priority, 		 Rate: 0.475000, 		 Region: CA East 
152. Category: Virtual Machines, 		  Name: A8m v2, 		 Rate: 0.594000, 		 Region: US West 
153. Category: Virtual Machines, 		  Name: L8s Low Priority, 		 Rate: 0.422000, 		 Region: CA East 
154. Category: Virtual Machines, 		  Name: NC6, 		 Rate: 1.556000, 		 Region: AP Southeast 
155. Category: Virtual Machines, 		  Name: M16ms, 		 Rate: 4.213800, 		 Region: US East 
156. Category: Virtual Machines, 		  Name: H16r, 		 Rate: 1.924000, 		 Region: US South Central 
157. Category: Virtual Machines, 		  Name: M64s Low Priority, 		 Rate: 4.230000, 		 Region: CA East 
158. Category: Virtual Machines, 		  Name: G1/GS1 Low Priority, 		 Rate: 0.138000, 		 Region: US Gov TX 
159. Category: Virtual Machines, 		  Name: A5, 		 Rate: 0.297000, 		 Region: UK West 
160. Category: Virtual Machines, 		  Name: A3, 		 Rate: 0.284000, 		 Region: AU East 
161. Category: Virtual Machines, 		  Name: F4s v2 Low Priority, 		 Rate: 0.034000, 		 Region: AU East 
162. Category: Virtual Machines, 		  Name: A8m v2 Low Priority, 		 Rate: 0.318000, 		 Region: US East 2 
