201,Virtual Machines,F64s v2 Low Priority,0.746912,US West Central
202,Virtual Machines,F2s v2 Low Priority,0.023341,US West 2
203,Virtual Machines,D32 v3/D32s v3 Low Priority,0.483296,US Central
204,Virtual Machines,A8m v2 Low Priority,0.119451,
205,Virtual Machines,F4/F4s,0.328147,US Gov AZ
206,Virtual Machines,NC24rs v3 Low Priority,4.436163,CA Central
207,Virtual Machines,D12 v2/DS12 v2,0.772999,IN Central
208,Virtual Machines,F1/F1s,0.085126,US West
209,Virtual Machines,A8m v2,1.018766,CA Central
210,Virtual Machines,A3 Low Priority,0.071396,IN West
211,Virtual Machines,D2/DS2 Low Priority,0.171625,AU East
212,Virtual Machines,E8 v3/E8s v3 Low Priority,0.551946,US Gov AZ
213,Virtual Machines,E20 v3/E20s v3 Low Priority,1.359270,US Central
214,Virtual Machines,D1/DS1 Low Priority,0.076888,US East
215,Virtual Machines,NC12s v2,9.830680,AP Southeast
216,Virtual Machines,D3/DS3,0.619223,AP East
217,Virtual Machines,E8 v3/E8s v3,0.856752,UK West
218,Virtual Machines,D13 v2/DS13 v2 Low Priority,0.984441,BR South
219,Virtual Machines,G2/GS2 Low Priority,0.642564,CA Central
220,Virtual Machines,F2s v2 Low Priority,0.126591,AU Central
221,Virtual Machines,A5,0.453090,US West
222,Virtual Machines,F16/F16s,1.120368,KR South
223,Virtual Machines,A8m v2 Low Priority,0.215561,UK South
224,Virtual Machines,F32s v2,2.034786,CA East
225,Virtual Machines,D13/DS13 Low Priority,0.667278,US Gov
226,Virtual Machines,A3 Low Priority,0.194966,CA Central
227,Virtual Machines,D2 v2/DS2 v2 - Expired,0.234783,BR South
228,Virtual Machines,D4 v2/DS4 v2,0.783983,US Gov TX
229,Virtual Machines,D2 v3/D2s v3 Low Priority,0.030206,US Central
230,Virtual Machines,F16/F16s,1.784900,AU Central 2
231,Virtual Machines,L4s Low Priority,0.085126,US West 2
232,Virtual Machines,D2 v2/DS2 v2,0.321282,US East 2
233,Virtual Machines,A4m v2,0.600001,BR South
234,Virtual Machines,D5 v2/DS5 v2 - Expired,2.864078,IN South
235,Virtual Machines,A2 v2,0.155149,JA West
236,Virtual Machines,D15 v2/DS15 v2 Low Priority,0.630207,JA East
237,Virtual Machines,M128s,26.397298,US West 2
238,Virtual Machines,D11 v2/DS11 v2,0.274600,JA West
239,Virtual Machines,B4ms,0.281465,UK South
240,Virtual Machines,D11 v2/DS11 v2 Low Priority,0.155149,IN Central
241,Virtual Machines,D12 v2/DS12 v2,0.724944,US North Central
242,Virtual Machines,D16 v3/D16s v3 Low Priority,0.211442,US East
243,Virtual Machines,D13/DS13 Low Priority,0.192220,
244,Virtual Machines,D1 v2/DS1 v2 Low Priority,0.071396,KR Central
245,Virtual Machines,A8 v2,0.525859,EU North
246,Virtual Machines,D13 v2/DS13 v2 - Expired,2.216022,BR South
247,Virtual Machines,A11 Low Priority,0.428376,EU North
248,Virtual Machines,E2 v3/E2s v3 Low Priority,0.037071,US East 2
249,Virtual Machines,A2 Low Priority,0.027735,FR Central
250,Virtual Machines,A4m v2,0.428376,AU East
251,Virtual Machines,D11/DS11,0.333639,EU North
252,Virtual Machines,D1 v2/DS1 v2,0.200458,US Gov AZ
253,Virtual Machines,D16 v3/D16s v3 Low Priority,0.230664,IN Central
254,Virtual Machines,NV6 Low Priority,0.436614,AU East
255,Virtual Machines,D14 v2/DS14 v2,1.826090,US West Central
256,Virtual Machines,E2 v3/E2s v3,0.203204,US West
257,Virtual Machines,NV6,2.443940,JA East
258,Virtual Machines,F2s v2,0.116705,IN Central
259,Virtual Machines,D4/DS4,2.033413,AP East
260,Virtual Machines,E16 v3/E16s v3,1.383984,US North Central
261,Virtual Machines,A7,1.812360,CA East
262,Virtual Machines,M64s Low Priority,5.279185,US East 2
263,Virtual Machines,A2 Low Priority,0.026087,AP Southeast
264,Virtual Machines,F4s v2,0.509383,IN South
265,Virtual Machines,D13 v2/DS13 v2 - Expired,1.931811,AP East
266,Virtual Machines,D15 v2/DS15 v2 Low Priority,0.457209,
267,Virtual Machines,E8 v3/E8s v3,1.362016,UK West
268,Virtual Machines,F4/F4s Low Priority,0.305493,AU Central
269,Virtual Machines,F2s v2,0.243021,IN West
270,Virtual Machines,F16s v2,1.065448,EU West
271,Virtual Machines,F8s v2 Low Priority,0.426179,US Gov TX
272,Virtual Machines,D4 v3/D4s v3,0.595882,AU East
273,Virtual Machines,NC12s v2,7.367518,EU West
274,Virtual Machines,D14 v2/DS14 v2 Low Priority,0.516248,BR South
275,Virtual Machines,F8s v2 Low Priority,0.152403,AU Central 2
276,Virtual Machines,M128ms,36.642624,US East
277,Virtual Machines,A4,1.276890,AU Central
278,Virtual Machines,D32 v3/D32s v3,5.825914,FR South
279,Virtual Machines,NC24s v2,11.368440,US West 2
280,Virtual Machines,E20 v3/E20s v3,3.405040,US South Central
281,Virtual Machines,D13 v2/DS13 v2,1.290620,BR South
282,Virtual Machines,D2 v2/DS2 v2,0.200458,US East
283,Virtual Machines,D3 v2/DS3 v2,0.715333,IN South
284,Virtual Machines,F4/F4s Low Priority,0.232037,US Gov
285,Virtual Machines,M32ms,10.632512,UK West
286,Virtual Machines,F8s v2,0.972084,US North Central
287,Virtual Machines,F4s v2,0.256751,IN South
288,Virtual Machines,A0,0.024714,KR Central
289,Virtual Machines,M32ts,4.460053,AU Southeast
290,Virtual Machines,A2 Low Priority,0.035698,IN West
291,Virtual Machines,A2m v2,0.241648,US Gov
292,Virtual Machines,F64s v2 Low Priority,3.110669,US West Central
293,Virtual Machines,D2 v2/DS2 v2,0.240275,FR Central
294,Virtual Machines,B2ms,0.210069,AP East
295,Virtual Machines,D16 v3/D16s v3 Low Priority,0.914418,UK West
296,Virtual Machines,D32 v3/D32s v3 Low Priority,0.553319,US Gov AZ
297,Virtual Machines,A2 Low Priority,0.098856,US East 2
298,Virtual Machines,L32s,6.151040,US Gov AZ
299,Virtual Machines,A2 v2 Low Priority,0.026087,US Gov TX
300,Virtual Machines,D11/DS11 Low Priority,0.177117,AP Southeast
301,Virtual Machines,A2 v2,0.200458,US Gov AZ
302,Virtual Machines,F4/F4s Low Priority,0.285584,AP East
303,Virtual Machines,D2/DS2,0.428376,AU East
304,Virtual Machines,D2 v3/D2s v3 Low Priority,0.120824,JA East
305,Virtual Machines,M32ts Low Priority,0.869710,UK South
306,Virtual Machines,A0 Low Priority,0.005492,KR Central
307,Virtual Machines,A4,0.978949,UK South
308,Virtual Machines,A1 v2 Low Priority,0.035698,US North Central
309,Virtual Machines,F8s v2 Low Priority,0.388834,CA Central
310,Virtual Machines,H16m Low Priority,0.871855,AU East
311,Virtual Machines,NV12,3.954240,US East
312,Virtual Machines,D16 v3/D16s v3,2.240736,FR Central
313,Virtual Machines,A1 Low Priority,0.007140,CA Central
314,Virtual Machines,F8/F8s Low Priority,0.138673,JA West
315,Virtual Machines,D13/DS13 Low Priority,0.984441,BR South
316,Virtual Machines,G1/GS1 Low Priority,0.189474,US Gov AZ
317,Virtual Machines,A8m v2,1.402931,FR South
318,Virtual Machines,F32s v2,2.110301,KR South
319,Virtual Machines,B2s,0.071396,KR South
320,Virtual Machines,D13 v2/DS13 v2 - Expired,1.600918,KR Central
321,Virtual Machines,F16s v2 Low Priority,0.224074,US Gov
322,Virtual Machines,E64i v3/E64is v3 Low Priority,1.318080,IN South
323,Virtual Machines,A2m v2 Low Priority,0.027460,US West 2
324,Virtual Machines,A7 Low Priority,0.274600,US East
325,Virtual Machines,F4/F4s,0.300687,IN West
326,Virtual Machines,A2m v2 Low Priority,0.119451,IN South
327,Virtual Machines,D32 v3/D32s v3,3.432500,AU Central 2
328,Virtual Machines,A2m v2,0.278719,AP Southeast
329,Virtual Machines,A7,1.631124,FR Central
330,Virtual Machines,M64ls Low Priority,1.486959,US East
331,Virtual Machines,F8/F8s,0.657667,US Gov AZ
332,Virtual Machines,L80s v2 Low Priority,5.448064,US West 2
333,Virtual Machines,A1 v2 Low Priority,0.037071,AP Southeast
334,Virtual Machines,NC24rs v3,23.107590,UK South
335,Virtual Machines,F2/F2s Low Priority,0.105721,US East
336,Virtual Machines,D3 v2/DS3 v2 Low Priority,0.358353,FR Central
337,Virtual Machines,A6 Low Priority,0.094737,KR Central
338,Virtual Machines,A4m v2 Low Priority,0.293822,CA Central
339,Virtual Machines,M128ms Low Priority,10.627020,JA West
340,Virtual Machines,B1ms,0.061510,AU Central 2
341,Virtual Machines,D32 v3/D32s v3 Low Priority,0.486042,KR South
342,Virtual Machines,D32 v3/D32s v3,5.195432,IN South
343,Virtual Machines,D2 v3/D2s v3 Low Priority,0.120824,JA West
344,Virtual Machines,D12 v2/DS12 v2 Low Priority,0.104348,IN Central
345,Virtual Machines,F72s v2 Low Priority,0.840276,IN South
346,Virtual Machines,D64 v3/D64s v3,5.667744,JA West
347,Virtual Machines,ND40s v2 Low Priority,3.361104,US East
348,Virtual Machines,D4 v3/D4s v3 Low Priority,0.060412,US South Central
349,Virtual Machines,NC12s v3 Low Priority,5.774838,KR Central
350,Virtual Machines,A0 Low Priority,0.009886,US Central
351,Virtual Machines,A0,0.024714,KR South
352,Virtual Machines,D2 v2/DS2 v2 Low Priority,0.048055,UK West
353,Virtual Machines,A0,0.027460,UK South
354,Virtual Machines,F8/F8s,0.663159,IN South
355,Virtual Machines,D32 v3/D32s v3,2.746000,AP Southeast
356,Virtual Machines,F2/F2s,0.135927,US North Central
357,Virtual Machines,H8,1.550117,US West 2
358,Virtual Machines,D12 v2/DS12 v2,0.520367,IN West
359,Virtual Machines,M16s Low Priority,2.321468,US East
360,Virtual Machines,M32ls,8.443264,AP East
